sample_index,temporal_index,height_index,width_index,importance
3,3,6,0,0.3184894025325775
3,3,6,1,0.8824270367622375
3,3,6,2,0.810486376285553
3,3,6,3,0.8623192310333252
3,3,6,4,0.6683828234672546
3,3,6,5,0.4227283000946045
3,3,6,6,0.3487454354763031
3,3,6,7,0.6349142789840698
3,3,6,8,0.8565719723701477
3,3,6,9,0.8519217371940613
3,3,6,10,0.7612850666046143
3,3,6,11,0.4112079441547394
3,3,6,12,0.3375840485095978
3,3,6,13,0.31078603863716125
3,4,0,0,0.4221435785293579
3,4,0,1,0.3026898503303528
3,4,0,2,0.31871524453163147
3,4,0,3,0.3174705505371094
3,4,0,4,0.34812676906585693
3,4,0,5,0.41559040546417236
3,4,0,6,0.3346414566040039
3,4,0,7,0.3267959654331207
3,4,0,8,0.8760786056518555
3,4,0,9,0.4613986611366272
3,4,0,10,0.8622317910194397
3,4,0,11,0.416970819234848
3,4,0,12,0.3203916549682617
3,4,0,13,0.7453715801239014
3,4,1,0,0.6124335527420044
3,4,1,1,0.8220726847648621
3,4,1,2,0.7789676189422607
3,4,1,3,0.8002620339393616
3,4,1,4,0.5651922821998596
3,4,1,5,0.5107191801071167
3,4,1,6,0.3010506331920624
3,4,1,7,0.4622983932495117
3,4,1,8,0.7256098985671997
3,4,1,9,0.6393898725509644
3,4,1,10,0.6568745970726013
3,4,1,11,0.5755589604377747
3,4,1,12,0.6850247979164124
3,4,1,13,0.29025542736053467
3,4,2,0,0.8912967443466187
3,4,2,1,0.8393812775611877
3,4,2,2,0.8003298044204712
3,4,2,3,0.7742496132850647
3,4,2,4,0.7539051175117493
3,4,2,5,0.7276309132575989
3,4,2,6,0.4695214629173279
3,4,2,7,0.7846805453300476
3,4,2,8,0.9260849952697754
3,4,2,9,0.412159264087677
3,4,2,10,0.8594326972961426
3,4,2,11,0.8274810910224915
3,4,2,12,0.8437186479568481
3,4,2,13,0.8337159156799316
3,4,3,0,0.776032030582428
3,4,3,1,0.8659499287605286
3,4,3,2,0.4624042510986328
3,4,3,3,0.7653611898422241
3,4,3,4,0.925753653049469
3,4,3,5,0.8426757454872131
3,4,3,6,0.7998517155647278
3,4,3,7,0.4710861146450043
3,4,3,8,0.3529950678348541
3,4,3,9,0.3449195921421051
3,4,3,10,0.3331576883792877
3,4,3,11,0.35484206676483154
3,4,3,12,0.39142441749572754
3,4,3,13,0.41821280121803284
3,4,4,0,0.42365702986717224
3,4,4,1,0.8791529536247253
3,4,4,2,0.3496243357658386
3,4,4,3,0.4824736416339874
3,4,4,4,0.3398681879043579
3,4,4,5,0.34172022342681885
3,4,4,6,0.7883123755455017
3,4,4,7,0.4225703477859497
3,4,4,8,0.7198318243026733
3,4,4,9,0.392040878534317
3,4,4,10,0.7670262455940247
3,4,4,11,0.47865718603134155
3,4,4,12,0.5287770628929138
3,4,4,13,0.31003955006599426
3,4,5,0,0.43471258878707886
3,4,5,1,0.9008462429046631
3,4,5,2,0.631558358669281
3,4,5,3,0.6112807393074036
3,4,5,4,0.6956946849822998
3,4,5,5,0.8097912073135376
3,4,5,6,0.6423140168190002
3,4,5,7,0.5922276973724365
3,4,5,8,0.8234221339225769
3,4,5,9,0.8427333235740662
3,4,5,10,0.8137205243110657
3,4,5,11,0.8023090362548828
3,4,5,12,0.7596691846847534
3,4,5,13,0.7406808733940125
3,4,6,0,0.5589786767959595
3,4,6,1,0.8399871587753296
3,4,6,2,0.8286002278327942
3,4,6,3,0.82799232006073
3,4,6,4,0.7970514297485352
3,4,6,5,0.7959766387939453
3,4,6,6,0.45472952723503113
3,4,6,7,0.7921875715255737
3,4,6,8,0.8836565613746643
3,4,6,9,0.899766743183136
3,4,6,10,0.8598220944404602
3,4,6,11,0.8983627557754517
3,4,6,12,0.8087171912193298
3,4,6,13,0.35750746726989746
3,5,0,0,0.4712463617324829
3,5,0,1,0.40472328662872314
3,5,0,2,0.37890905141830444
3,5,0,3,0.3314809501171112
3,5,0,4,0.4087640643119812
3,5,0,5,0.41220661997795105
3,5,0,6,0.30618059635162354
3,5,0,7,0.8837968111038208
3,5,0,8,0.86260586977005
3,5,0,9,0.40328285098075867
3,5,0,10,0.6129236817359924
3,5,0,11,0.38889142870903015
3,5,0,12,0.9118596911430359
3,5,0,13,0.778924286365509
3,5,1,0,0.6589942574501038
3,5,1,1,0.7362126708030701
3,5,1,2,0.6367046236991882
3,5,1,3,0.6820992827415466
3,5,1,4,0.38007062673568726
3,5,1,5,0.6755115985870361
3,5,1,6,0.2821785807609558
3,5,1,7,0.4332282841205597
3,5,1,8,0.8481957912445068
3,5,1,9,0.534019410610199
3,5,1,10,0.6051240563392639
3,5,1,11,0.4716637432575226
3,5,1,12,0.44783079624176025
3,5,1,13,0.749230146408081
3,5,2,0,0.8359063267707825
3,5,2,1,0.7822564840316772
3,5,2,2,0.8262949585914612
3,5,2,3,0.7811312675476074
3,5,2,4,0.785495400428772
3,5,2,5,0.8155162930488586
3,5,2,6,0.8400731682777405
3,5,2,7,0.9013711214065552
3,5,2,8,0.8738053441047668
3,5,2,9,0.4016674757003784
3,5,2,10,0.8356780409812927
3,5,2,11,0.743553102016449
3,5,2,12,0.8089568614959717
3,5,2,13,0.8855809569358826
3,5,3,0,0.7796444296836853
3,5,3,1,0.9024940729141235
3,5,3,2,0.9295082092285156
3,5,3,3,0.8377216458320618
3,5,3,4,0.8997974395751953
3,5,3,5,0.8803999423980713
3,5,3,6,0.8924554586410522
3,5,3,7,0.46967342495918274
3,5,3,8,0.32475873827934265
3,5,3,9,0.32237735390663147
3,5,3,10,0.30688750743865967
3,5,3,11,0.32916563749313354
3,5,3,12,0.42676571011543274
3,5,3,13,0.457317978143692
3,5,4,0,0.6431331634521484
3,5,4,1,0.8588318824768066
3,5,4,2,0.5211134552955627
3,5,4,3,0.8164384961128235
3,5,4,4,0.7169920802116394
3,5,4,5,0.3202831745147705
3,5,4,6,0.770938515663147
3,5,4,7,0.4119797945022583
3,5,4,8,0.7189126014709473
3,5,4,9,0.48090603947639465
3,5,4,10,0.8096033930778503
3,5,4,11,0.6545723676681519
3,5,4,12,0.3164854645729065
3,5,4,13,0.2949637174606323
3,5,5,0,0.4255481958389282
3,5,5,1,0.6803465485572815
3,5,5,2,0.5842329263687134
3,5,5,3,0.47360992431640625
3,5,5,4,0.5089354515075684
3,5,5,5,0.827574610710144
3,5,5,6,0.23899462819099426
3,5,5,7,0.40008100867271423
3,5,5,8,0.81489098072052
3,5,5,9,0.8274357914924622
