class,class_label,feature,mean_abs_shap,mean_signed_shap
Control,0,AST_Fused_151,0.0,0.0
Control,0,AST_Fused_152,0.0,0.0
Control,0,AST_Fused_153,0.0,0.0
Control,0,AST_Fused_154,0.0,0.0
Control,0,AST_Fused_155,0.0,0.0
Control,0,AST_Fused_156,0.0,0.0
Control,0,AST_Fused_157,0.0,0.0
Control,0,AST_Fused_158,0.0,0.0
Control,0,AST_Fused_159,0.0,0.0
Control,0,AST_Fused_160,0.0,0.0
Control,0,AST_Fused_161,0.0,0.0
Control,0,AST_Fused_162,0.0,0.0
Control,0,AST_Fused_163,0.0,0.0
Control,0,AST_Fused_164,0.0,0.0
Control,0,AST_Fused_165,0.23682883381843567,-0.15230002999305725
Control,0,AST_Fused_166,0.0,0.0
Control,0,AST_Fused_167,0.0,0.0
Control,0,AST_Fused_168,0.0,0.0
Control,0,AST_Fused_169,0.0,0.0
