feature,mean_abs_shap,class,rank
Video_Swin_Fused_016,0.0,Control,522
Video_Swin_Fused_017,0.0,Control,523
Video_Swin_Fused_018,0.0,Control,524
Video_Swin_Fused_019,0.0,Control,525
Video_Swin_Fused_020,0.0,Control,526
Video_Swin_Fused_021,0.0,Control,527
Video_Swin_Fused_022,0.0,Control,528
Video_Swin_Fused_023,0.0,Control,529
Video_Swin_Fused_012,0.0,Control,530
Video_Swin_Fused_073,0.0,Control,531
Video_Swin_Fused_074,0.0,Control,532
Video_Swin_Fused_075,0.0,Control,533
Video_Swin_Fused_076,0.0,Control,534
Video_Swin_Fused_077,0.0,Control,535
Video_Swin_Fused_078,0.0,Control,536
Video_Swin_Fused_079,0.0,Control,537
Video_Swin_Fused_080,0.0,Control,538
Video_Swin_Fused_081,0.0,Control,539
Video_Swin_Fused_082,0.0,Control,540
Video_Swin_Fused_083,0.0,Control,541
Video_Swin_Fused_047,0.0,Control,542
Video_Swin_Fused_085,0.0,Control,543
Video_Swin_Fused_086,0.0,Control,544
Video_Swin_Fused_087,0.0,Control,545
Video_Swin_Fused_088,0.0,Control,546
Video_Swin_Fused_089,0.0,Control,547
Video_Swin_Fused_090,0.0,Control,548
Video_Swin_Fused_091,0.0,Control,549
Video_Swin_Fused_092,0.0,Control,550
Video_Swin_Fused_093,0.0,Control,551
Video_Swin_Fused_094,0.0,Control,552
Video_Swin_Fused_095,0.0,Control,553
Video_Swin_Fused_084,0.0,Control,554
Video_Swin_Fused_048,0.0,Control,555
Video_Swin_Fused_049,0.0,Control,556
Video_Swin_Fused_050,0.0,Control,557
Video_Swin_Fused_052,0.0,Control,558
Video_Swin_Fused_053,0.0,Control,559
Video_Swin_Fused_054,0.0,Control,560
Video_Swin_Fused_055,0.0,Control,561
Video_Swin_Fused_056,0.0,Control,562
Video_Swin_Fused_057,0.0,Control,563
Video_Swin_Fused_058,0.0,Control,564
Video_Swin_Fused_059,0.0,Control,565
Video_Swin_Fused_072,0.0,Control,566
Video_Swin_Fused_061,0.0,Control,567
Video_Swin_Fused_062,0.0,Control,568
Video_Swin_Fused_063,0.0,Control,569
Video_Swin_Fused_064,0.0,Control,570
Video_Swin_Fused_065,0.0,Control,571
Video_Swin_Fused_066,0.0,Control,572
Video_Swin_Fused_067,0.0,Control,573
Video_Swin_Fused_068,0.0,Control,574
Video_Swin_Fused_069,0.0,Control,575
Video_Swin_Fused_070,0.0,Control,576
Video_Swin_Fused_071,0.0,Control,577
Video_Swin_Fused_060,0.0,Control,578
Video_Swin_Fused_318,0.0,Control,579
Video_Swin_Fused_319,0.0,Control,580
Video_Swin_Fused_320,0.0,Control,581
Video_Swin_Fused_321,0.0,Control,582
Video_Swin_Fused_322,0.0,Control,583
Video_Swin_Fused_323,0.0,Control,584
Video_Swin_Fused_324,0.0,Control,585
Video_Swin_Fused_325,0.0,Control,586
Video_Swin_Fused_326,0.0,Control,587
Video_Swin_Fused_327,0.0,Control,588
Video_Swin_Fused_192,0.0,Control,589
Video_Swin_Fused_329,0.0,Control,590
Video_Swin_Fused_330,0.0,Control,591
Video_Swin_Fused_331,0.0,Control,592
Video_Swin_Fused_332,0.0,Control,593
Video_Swin_Fused_333,0.0,Control,594
Video_Swin_Fused_334,0.0,Control,595
Video_Swin_Fused_335,0.0,Control,596
Video_Swin_Fused_336,0.0,Control,597
Video_Swin_Fused_337,0.0,Control,598
Video_Swin_Fused_338,0.0,Control,599
Video_Swin_Fused_339,0.0,Control,600
Video_Swin_Fused_328,0.0,Control,601
Video_Swin_Fused_294,0.0,Control,602
Video_Swin_Fused_295,0.0,Control,603
Video_Swin_Fused_296,0.0,Control,604
Video_Swin_Fused_297,0.0,Control,605
Video_Swin_Fused_298,0.0,Control,606
Video_Swin_Fused_299,0.0,Control,607
Video_Swin_Fused_300,0.0,Control,608
Video_Swin_Fused_301,0.0,Control,609
Video_Swin_Fused_302,0.0,Control,610
Video_Swin_Fused_303,0.0,Control,611
Video_Swin_Fused_304,0.0,Control,612
Video_Swin_Fused_317,0.0,Control,613
Video_Swin_Fused_306,0.0,Control,614
Video_Swin_Fused_307,0.0,Control,615
Video_Swin_Fused_308,0.0,Control,616
Video_Swin_Fused_309,0.0,Control,617
Video_Swin_Fused_310,0.0,Control,618
Video_Swin_Fused_311,0.0,Control,619
Video_Swin_Fused_312,0.0,Control,620
Video_Swin_Fused_313,0.0,Control,621
Video_Swin_Fused_314,0.0,Control,622
Video_Swin_Fused_315,0.0,Control,623
Video_Swin_Fused_316,0.0,Control,624
Video_Swin_Fused_305,0.0,Control,625
Video_Swin_Fused_366,0.0,Control,626
Video_Swin_Fused_367,0.0,Control,627
Video_Swin_Fused_368,0.0,Control,628
Video_Swin_Fused_369,0.0,Control,629
Video_Swin_Fused_370,0.0,Control,630
Video_Swin_Fused_372,0.0,Control,631
Video_Swin_Fused_373,0.0,Control,632
Video_Swin_Fused_374,0.0,Control,633
Video_Swin_Fused_375,0.0,Control,634
Video_Swin_Fused_376,0.0,Control,635
Video_Swin_Fused_377,0.0,Control,636
Video_Swin_Fused_340,0.0,Control,637
Video_Swin_Fused_379,0.0,Control,638
Video_Swin_Fused_380,0.0,Control,639
Video_Swin_Fused_381,0.0,Control,640
Video_Swin_Fused_382,0.0,Control,641
Video_Swin_Fused_383,0.0,Control,642
AST_Fused_384,0.0,Control,643
AST_Fused_001,0.0,Control,644
AST_Fused_002,0.0,Control,645
AST_Fused_003,0.0,Control,646
AST_Fused_004,0.0,Control,647
AST_Fused_005,0.0,Control,648
Video_Swin_Fused_378,0.0,Control,649
Video_Swin_Fused_341,0.0,Control,650
Video_Swin_Fused_342,0.0,Control,651
Video_Swin_Fused_344,0.0,Control,652
Video_Swin_Fused_345,0.0,Control,653
Video_Swin_Fused_346,0.0,Control,654
Video_Swin_Fused_347,0.0,Control,655
Video_Swin_Fused_348,0.0,Control,656
Video_Swin_Fused_349,0.0,Control,657
Video_Swin_Fused_350,0.0,Control,658
Video_Swin_Fused_351,0.0,Control,659
Video_Swin_Fused_352,0.0,Control,660
Video_Swin_Fused_365,0.0,Control,661
Video_Swin_Fused_354,0.0,Control,662
Video_Swin_Fused_355,0.0,Control,663
Video_Swin_Fused_356,0.0,Control,664
Video_Swin_Fused_357,0.0,Control,665
Video_Swin_Fused_358,0.0,Control,666
Video_Swin_Fused_359,0.0,Control,667
Video_Swin_Fused_360,0.0,Control,668
Video_Swin_Fused_361,0.0,Control,669
Video_Swin_Fused_362,0.0,Control,670
Video_Swin_Fused_363,0.0,Control,671
