feature,mean_abs_shap,class,rank
Video_Swin_Fused_034,0.0,Parkinsons,493
Video_Swin_Fused_096,0.0,Parkinsons,494
Video_Swin_Fused_036,0.0,Parkinsons,495
Video_Swin_Fused_037,0.0,Parkinsons,496
Video_Swin_Fused_038,0.0,Parkinsons,497
Video_Swin_Fused_039,0.0,Parkinsons,498
Video_Swin_Fused_040,0.0,Parkinsons,499
Video_Swin_Fused_041,0.0,Parkinsons,500
Video_Swin_Fused_042,0.0,Parkinsons,501
Video_Swin_Fused_043,0.0,Parkinsons,502
Video_Swin_Fused_044,0.0,Parkinsons,503
Video_Swin_Fused_045,0.0,Parkinsons,504
Video_Swin_Fused_046,0.0,Parkinsons,505
Video_Swin_Fused_035,0.0,Parkinsons,506
Video_Swin_Fused_001,0.0,Parkinsons,507
Video_Swin_Fused_002,0.0,Parkinsons,508
Video_Swin_Fused_003,0.0,Parkinsons,509
Video_Swin_Fused_004,0.0,Parkinsons,510
Video_Swin_Fused_005,0.0,Parkinsons,511
Video_Swin_Fused_006,0.0,Parkinsons,512
Video_Swin_Fused_007,0.0,Parkinsons,513
Video_Swin_Fused_008,0.0,Parkinsons,514
Video_Swin_Fused_009,0.0,Parkinsons,515
Video_Swin_Fused_010,0.0,Parkinsons,516
Video_Swin_Fused_011,0.0,Parkinsons,517
Video_Swin_Fused_024,0.0,Parkinsons,518
Video_Swin_Fused_013,0.0,Parkinsons,519
Video_Swin_Fused_014,0.0,Parkinsons,520
Video_Swin_Fused_015,0.0,Parkinsons,521
Video_Swin_Fused_016,0.0,Parkinsons,522
Video_Swin_Fused_017,0.0,Parkinsons,523
Video_Swin_Fused_018,0.0,Parkinsons,524
Video_Swin_Fused_019,0.0,Parkinsons,525
Video_Swin_Fused_020,0.0,Parkinsons,526
Video_Swin_Fused_021,0.0,Parkinsons,527
Video_Swin_Fused_022,0.0,Parkinsons,528
Video_Swin_Fused_023,0.0,Parkinsons,529
Video_Swin_Fused_012,0.0,Parkinsons,530
Video_Swin_Fused_073,0.0,Parkinsons,531
Video_Swin_Fused_074,0.0,Parkinsons,532
Video_Swin_Fused_075,0.0,Parkinsons,533
Video_Swin_Fused_076,0.0,Parkinsons,534
Video_Swin_Fused_077,0.0,Parkinsons,535
Video_Swin_Fused_078,0.0,Parkinsons,536
Video_Swin_Fused_079,0.0,Parkinsons,537
Video_Swin_Fused_080,0.0,Parkinsons,538
Video_Swin_Fused_081,0.0,Parkinsons,539
Video_Swin_Fused_082,0.0,Parkinsons,540
Video_Swin_Fused_083,0.0,Parkinsons,541
Video_Swin_Fused_047,0.0,Parkinsons,542
Video_Swin_Fused_085,0.0,Parkinsons,543
Video_Swin_Fused_086,0.0,Parkinsons,544
Video_Swin_Fused_087,0.0,Parkinsons,545
Video_Swin_Fused_088,0.0,Parkinsons,546
Video_Swin_Fused_089,0.0,Parkinsons,547
Video_Swin_Fused_090,0.0,Parkinsons,548
Video_Swin_Fused_091,0.0,Parkinsons,549
Video_Swin_Fused_092,0.0,Parkinsons,550
Video_Swin_Fused_093,0.0,Parkinsons,551
Video_Swin_Fused_094,0.0,Parkinsons,552
Video_Swin_Fused_095,0.0,Parkinsons,553
Video_Swin_Fused_084,0.0,Parkinsons,554
